"File: DDELog(Excel:M3_19_7	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M3_DRG_19_7\S+TM3.LOG"
"Date: Tue Jul 19 2022 11:44:43.829"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
136.0420
187.5460
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (101, 182), Size: (36, 39), Area: 1088]"
"Region 2: [Location: (358, 238), Size: (53, 37), Area: 1501]"
"Region 3: [Location: (302, 415), Size: (33, 38), Area: 966]"
"Region 4: [Location: (160, 416), Size: (46, 46), Area: 1642]"
"Region 5: [Location: (261, 60), Size: (42, 48), Area: 1540]"
"Region 6: [Location: (245, 219), Size: (40, 43), Area: 1334]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
83.3840, 1764.2252, 5704.2711, 1758.9740, 5532.4157, 1813.7133, 7783.2867, 1798.0116, 3987.5646, 1608.4539, 1655.4987, 1606.2429, 1657.3073
84.3840, 1763.9357, 5704.7583, 1759.6336, 5517.2672, 1811.9327, 7769.8168, 1798.1541, 3985.6224, 1609.0104, 1655.7851, 1608.1162, 1657.2639
85.3840, 1763.2307, 5703.9219, 1759.4690, 5504.0333, 1813.0062, 7774.1356, 1799.5061, 3973.1547, 1608.7669, 1654.4805, 1607.4918, 1657.9640
86.3840, 1764.7739, 5709.8483, 1758.5856, 5494.3804, 1812.9472, 7773.4213, 1798.2503, 3960.4921, 1608.2188, 1654.7844, 1606.7924, 1657.5885
87.3840, 1763.2454, 5707.0993, 1759.2632, 5483.2365, 1813.4669, 7764.2826, 1800.0116, 3955.7290, 1608.7675, 1655.3097, 1606.3328, 1659.1897
88.3840, 1764.3824, 5698.5239, 1757.4843, 5479.1999, 1811.5839, 7771.7029, 1798.8076, 3962.7789, 1608.9318, 1655.3727, 1608.1139, 1658.4348
89.3840, 1763.8906, 5704.4798, 1757.2778, 5467.0346, 1811.6988, 7769.1242, 1798.9379, 3949.6675, 1609.2234, 1656.2604, 1607.4580, 1658.6319
90.3840, 1763.3759, 5704.1452, 1755.3911, 5453.8041, 1811.3126, 7766.0383, 1800.2948, 3939.0493, 1609.0169, 1655.5312, 1607.7901, 1659.3283
91.3840, 1764.4329, 5701.8897, 1756.7022, 5439.2838, 1812.9058, 7764.3747, 1800.1382, 3920.7058, 1608.5584, 1652.9000, 1607.0105, 1658.2856
92.3840, 1764.7546, 5698.6020, 1756.9627, 5436.0027, 1813.6366, 7755.5259, 1800.7339, 3891.7741, 1608.6201, 1655.2708, 1608.2279, 1657.1844
93.3840, 1764.0864, 5694.7040, 1757.6382, 5418.4284, 1813.9265, 7747.1957, 1799.9233, 3868.9495, 1609.0623, 1653.5578, 1606.4978, 1657.4820
94.3840, 1763.6847, 5695.9311, 1755.9001, 5412.7815, 1812.3230, 7747.7733, 1800.4440, 3833.7272, 1607.4870, 1655.2071, 1606.2534, 1657.7976
95.3840, 1766.0414, 5695.9871, 1755.3165, 5397.7835, 1812.8851, 7730.9959, 1801.6279, 3822.4184, 1609.8714, 1655.2571, 1607.2714, 1657.3351
