"File: DDELog(Excel:M14	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M14_DRG_20_7\M14.LOG"
"Date: Wed Jul 20 2022 11:32:39.130"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
49.9070
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (230, 229), Size: (35, 37), Area: 991]"
"Region 2: [Location: (448, 268), Size: (29, 34), Area: 758]"
"Region 3: [Location: (196, 345), Size: (39, 36), Area: 1088]"
"Region 4: [Location: (40, 49), Size: (43, 50), Area: 1660]"
"Region 5: [Location: (51, 144), Size: (51, 91), Area: 3619]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg"
94.3290, 1754.4077, 3244.6478, 1659.8496, 3491.0396, 1741.5938, 3221.5285, 1586.7151, 1611.4392, 1587.1860, 1619.6524
95.3290, 1752.1948, 3243.6044, 1659.4142, 3491.3430, 1741.1259, 3216.5781, 1585.5976, 1612.4783, 1587.3086, 1620.5944
96.3290, 1753.9667, 3243.6680, 1661.1240, 3491.3707, 1740.7574, 3206.6204, 1585.0006, 1611.2729, 1587.7303, 1621.2222
97.3290, 1754.0595, 3241.7457, 1657.9802, 3492.6346, 1739.7767, 3199.6241, 1586.4717, 1611.9422, 1588.3357, 1619.9691
98.3290, 1752.6761, 3237.5681, 1658.9815, 3490.6016, 1739.5790, 3210.1939, 1585.7735, 1611.7512, 1587.6563, 1619.5877
99.3290, 1752.6478, 3237.5076, 1657.8892, 3490.7850, 1738.4568, 3189.4191, 1584.7343, 1612.5301, 1587.6579, 1620.8823
100.3290, 1750.4359, 3230.7790, 1661.1807, 3485.6451, 1741.6305, 3196.7711, 1585.9404, 1612.0608, 1587.5023, 1620.5275
101.3290, 1752.2432, 3226.2654, 1660.4723, 3482.0409, 1739.4651, 3208.0285, 1586.1747, 1611.7090, 1587.2998, 1619.9956
102.3290, 1753.2180, 3222.4188, 1658.7850, 3482.8760, 1738.7904, 3206.4017, 1585.4711, 1611.3464, 1587.7005, 1620.0141
103.3290, 1752.8224, 3221.9475, 1659.1715, 3481.9182, 1738.7307, 3200.7142, 1585.2633, 1610.9958, 1587.6353, 1619.9478
104.3290, 1752.1685, 3216.6155, 1658.7177, 3474.8496, 1738.7840, 3203.9688, 1585.4633, 1612.6090, 1586.6850, 1620.2017
105.3290, 1753.4934, 3218.5701, 1659.3786, 3476.2784, 1737.7500, 3180.0469, 1587.1000, 1612.0012, 1587.4999, 1620.4979
106.3290, 1752.8345, 3210.4844, 1659.3008, 3473.9657, 1738.6443, 3171.1415, 1585.5988, 1612.9952, 1588.5043, 1620.3512
107.3290, 1754.5943, 3214.4379, 1658.1398, 3473.1201, 1739.1020, 3164.5597, 1586.3030, 1611.5018, 1587.5908, 1620.8699
108.3290, 1752.9485, 3208.2563, 1660.1741, 3471.9657, 1736.5478, 3164.4219, 1586.3994, 1612.0096, 1587.5952, 1620.6449
109.3290, 1754.6478, 3205.5106, 1659.0409, 3471.9565, 1737.4642, 3165.9320, 1586.6307, 1612.3398, 1587.7151, 1620.1569
110.3290, 1753.1403, 3200.6266, 1659.2005, 3469.6438, 1738.3879, 3165.1195, 1586.2084, 1611.1307, 1587.3775, 1620.1028
111.3290, 1753.8002, 3197.3734, 1660.0158, 3468.8021, 1735.9439, 3171.7748, 1586.1241, 1610.8663, 1586.9588, 1620.1965
112.3290, 1753.9667, 3198.9798, 1658.1953, 3468.6781, 1737.2105, 3176.9743, 1585.1193, 1611.9139, 1587.5316, 1619.4645
113.3290, 1750.6398, 3196.2856, 1658.7889, 3469.3351, 1736.0395, 3181.0055, 1585.5795, 1612.2139, 1586.9749, 1619.4836
114.3290, 1753.2089, 3195.7699, 1657.7599, 3470.1412, 1736.9026, 3185.8070, 1585.2964, 1611.4175, 1587.5662, 1620.2233
115.3290, 1752.2048, 3188.9970, 1659.8113, 3465.4499, 1733.9586, 3186.8759, 1585.8024, 1610.3133, 1587.1282, 1619.4128
116.3290, 1753.1070, 3188.5843, 1659.5778, 3462.2401, 1736.7151, 3191.2399, 1585.9289, 1612.0771, 1586.6991, 1619.8757
117.3290, 1752.2200, 3188.1029, 1659.8892, 3462.1055, 1735.8189, 3178.7169, 1585.7042, 1610.9343, 1586.9854, 1619.7748
118.3290, 1751.8456, 3181.7699, 1659.1095, 3461.6847, 1735.5836, 3179.4586, 1586.0066, 1611.5048, 1587.3678, 1619.7306
119.3290, 1751.4248, 3175.7941, 1659.0106, 3457.8575, 1732.6618, 3168.0800, 1585.5114, 1611.5458, 1587.4827, 1618.7231
120.3290, 1753.0555, 3181.7427, 1660.0805, 3457.6557, 1736.5074, 3143.6388, 1585.6771, 1610.2524, 1587.4178, 1619.1199
121.3290, 1753.1039, 3180.5893, 1658.4077, 3457.7520, 1734.6985, 3155.0965, 1585.9247, 1611.0705, 1587.6861, 1619.4753
