"File: DDELog(Excel:M12	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M12_DRG_20_7\M12.LOG"
"Date: Wed Jul 20 2022 10:44:27.576"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
0.0000, "Clock reset to 0.0"
"Time (sec)"
3.4880
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (291, 74), Size: (60, 51), Area: 2362]"
"Region 2: [Location: (198, 178), Size: (24, 21), Area: 396]"
"Region 3: [Location: (155, 213), Size: (33, 31), Area: 791]"
"Region 4: [Location: (87, 214), Size: (65, 56), Area: 2828]"
"Region 5: [Location: (82, 266), Size: (63, 56), Area: 2730]"
"Region 6: [Location: (262, 369), Size: (77, 80), Area: 4760]"
"Region 7: [Location: (340, 425), Size: (30, 40), Area: 940]"
"Region 8: [Location: (93, 477), Size: (53, 34), Area: 1378]"
"Region 9: [Location: (85, 79), Size: (38, 34), Area: 992]"
"Region 10: [Location: (46, 136), Size: (58, 52), Area: 2328]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
26.6010, 1732.1571, 6190.6185, 1635.8005, 3047.0985, 1662.9671, 3806.8205, 1783.4554, 6347.3172, 1749.4890, 4534.8136, 1736.7124, 6610.1508, 1675.3606, 4221.1255, 1704.5261, 4749.9398, 1591.0988, 1621.6905, 1591.8518, 1635.2663
27.6010, 1731.8831, 6191.4615, 1632.9924, 3050.5682, 1662.7775, 3805.5082, 1782.8975, 6342.6379, 1749.6469, 4533.6421, 1735.8141, 6607.0628, 1675.4883, 4221.6287, 1703.4311, 4753.8933, 1592.8306, 1623.2883, 1592.0588, 1634.7328
28.6010, 1731.7430, 6190.9970, 1632.9293, 3049.0278, 1663.8635, 3803.3161, 1783.5905, 6339.2801, 1749.2978, 4534.9586, 1735.2534, 6604.6370, 1674.9809, 4224.1830, 1702.9071, 4753.9412, 1591.8145, 1621.4244, 1591.6705, 1635.2457
29.6010, 1733.4026, 6196.2430, 1634.1692, 3047.0884, 1664.7509, 3805.6372, 1783.5322, 6341.0831, 1749.5978, 4539.4941, 1736.1992, 6606.1645, 1677.2777, 4223.3489, 1704.1313, 4751.5515, 1592.2712, 1621.6200, 1592.5782, 1634.6143
30.6010, 1733.8692, 6190.6600, 1633.2424, 3045.9722, 1663.4564, 3800.7699, 1783.8108, 6339.4151, 1749.5813, 4536.8751, 1737.2080, 6602.6095, 1675.9021, 4220.5309, 1705.7438, 4748.0849, 1592.6149, 1622.1593, 1591.2002, 1633.5150
31.6010, 1732.3548, 6190.1338, 1633.5202, 3045.1566, 1663.8913, 3801.0215, 1783.1750, 6335.1772, 1749.9388, 4528.1531, 1735.9578, 6600.7878, 1675.1681, 4219.6840, 1703.5457, 4741.9862, 1592.1482, 1621.1714, 1591.2745, 1634.4072
32.6010, 1732.4090, 6186.2981, 1633.9848, 3051.2172, 1662.8306, 3796.8154, 1784.0583, 6333.6772, 1749.9136, 4531.4018, 1736.2544, 6602.2968, 1677.7798, 4216.8191, 1703.8476, 4743.3106, 1592.0877, 1622.5171, 1591.7676, 1633.9029
33.6010, 1731.8933, 6187.8751, 1633.2929, 3047.1667, 1661.7370, 3796.4260, 1782.7585, 6331.5357, 1750.0011, 4535.2560, 1735.1471, 6595.6842, 1676.1521, 4208.6340, 1703.4028, 4739.3614, 1590.7046, 1622.3528, 1592.7118, 1634.7779
34.6010, 1732.8700, 6184.5508, 1633.2576, 3051.2247, 1663.6814, 3795.5310, 1783.9996, 6329.7606, 1748.6158, 4537.0106, 1736.5977, 6594.1966, 1676.4064, 4206.7574, 1704.9165, 4736.5428, 1591.3881, 1622.3770, 1591.6864, 1635.0236
35.6010, 1733.3654, 6185.0745, 1635.3914, 3050.3232, 1665.0771, 3793.6397, 1784.2277, 6331.4844, 1750.2886, 4540.7714, 1736.4609, 6594.6223, 1675.1606, 4212.0894, 1704.6045, 4736.6887, 1592.7813, 1622.8569, 1592.0859, 1635.1959
