"File: DDELog(Excel:M9	1	1)::C:\Users\user\Desktop\clemens\19_07_22_ DRG_AOP\M9_DRG_19_7\M9_S+T.LOG"
"Date: Tue Jul 19 2022 15:58:19.17"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
67.0910
101.8030
0.0000, "Clock reset to 0.0"
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (294, 113), Size: (26, 25), Area: 506]"
"Region 2: [Location: (297, 135), Size: (25, 24), Area: 468]"
"Region 3: [Location: (350, 282), Size: (29, 31), Area: 695]"
"Region 4: [Location: (278, 266), Size: (39, 38), Area: 1150]"
"Region 5: [Location: (258, 289), Size: (23, 26), Area: 458]"
"Region 6: [Location: (122, 351), Size: (37, 35), Area: 991]"
"Region 7: [Location: (131, 404), Size: (40, 42), Area: 1300]"
"Region 8: [Location: (0, 472), Size: (24, 28), Area: 520]"
"Region 9: [Location: (84, 99), Size: (38, 36), Area: 1056]"
"Region 10: [Location: (26, 222), Size: (45, 47), Area: 1637]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg", "R7 W1 Avg", "R7 W2 Avg", "R8 W1 Avg", "R8 W2 Avg", "R9 W1 Avg", "R9 W2 Avg", "R10 W1 Avg", "R10 W2 Avg"
42.8960, 1648.9684, 2903.1482, 1662.3953, 2829.9786, 1699.8532, 3410.4173, 1739.9348, 2608.6913, 1661.1135, 3028.6376, 1701.3935, 3406.0656, 1689.1423, 4102.7877, 1659.2385, 3481.8212, 1606.4621, 1639.9782, 1604.0959, 1635.1228
43.8960, 1649.5968, 2907.4862, 1660.7479, 2831.9060, 1700.2072, 3407.2950, 1740.8322, 2608.6496, 1660.4825, 3026.1834, 1700.2543, 3406.2714, 1689.1569, 4097.6877, 1657.5808, 3487.8115, 1605.6572, 1640.8002, 1604.0916, 1633.8125
44.8960, 1648.3241, 2906.7213, 1662.4979, 2835.9466, 1699.4619, 3409.3309, 1741.8922, 2605.7852, 1660.8690, 3019.0764, 1700.1584, 3404.9102, 1689.5731, 4096.3531, 1658.5115, 3486.0288, 1604.4896, 1640.6506, 1603.3244, 1635.0263
45.8960, 1649.1245, 2909.3182, 1664.4509, 2834.2799, 1701.4460, 3411.0532, 1741.5809, 2606.7104, 1658.9520, 3020.5218, 1702.4420, 3404.9475, 1688.5708, 4098.7715, 1658.7058, 3490.8250, 1605.7509, 1641.4441, 1603.5455, 1634.0733
46.8960, 1649.6462, 2902.8300, 1660.8953, 2832.1132, 1698.5338, 3409.8158, 1740.4070, 2604.9087, 1659.6310, 3020.0764, 1701.2765, 3404.5802, 1687.1854, 4101.0292, 1657.9250, 3491.0981, 1605.6657, 1639.6297, 1603.3030, 1633.3897
47.8960, 1648.5356, 2906.7095, 1662.3547, 2827.8440, 1697.8849, 3404.2460, 1741.3096, 2608.7278, 1659.0022, 3020.9214, 1701.2452, 3399.4420, 1688.6615, 4099.9615, 1659.3308, 3489.5404, 1604.9328, 1640.0994, 1604.0263, 1634.1417
48.8960, 1648.7470, 2904.6482, 1662.3226, 2820.8568, 1697.8835, 3406.7827, 1740.3817, 2606.5974, 1659.9891, 3014.0808, 1700.9173, 3394.6993, 1688.7731, 4103.7985, 1657.9904, 3493.1923, 1605.5919, 1639.5843, 1604.2175, 1634.3769
49.8960, 1649.0316, 2901.5573, 1661.3868, 2812.7906, 1699.0604, 3408.5712, 1741.0496, 2607.4913, 1660.4803, 3017.8996, 1702.9102, 3395.2089, 1689.5238, 4101.8315, 1659.9462, 3493.6808, 1605.9356, 1640.6250, 1603.5137, 1633.9493
50.8960, 1647.9051, 2903.7372, 1661.5342, 2809.8483, 1700.4043, 3405.7554, 1741.5887, 2604.0765, 1659.4782, 3020.8122, 1702.2563, 3397.1635, 1687.5946, 4098.3531, 1657.8788, 3486.9000, 1606.8873, 1639.2670, 1604.0678, 1634.1051
51.8960, 1647.1206, 2901.5375, 1663.9081, 2800.6496, 1698.9036, 3400.7525, 1740.8983, 2605.7139, 1659.3712, 3012.8057, 1700.8628, 3395.6004, 1688.9892, 4092.5385, 1658.0981, 3489.5192, 1606.0142, 1640.3352, 1603.2731, 1634.4062
52.8960, 1650.7688, 2901.9802, 1662.1966, 2800.4957, 1698.4029, 3404.1180, 1740.2026, 2604.5800, 1660.6419, 3009.1834, 1699.6983, 3404.0202, 1688.3831, 4092.4677, 1657.3942, 3486.2442, 1605.5682, 1640.1023, 1603.8314, 1634.4203
53.8960, 1650.4486, 2896.6008, 1661.6282, 2791.8462, 1697.8230, 3407.8806, 1741.6287, 2609.1739, 1659.2162, 3006.0044, 1701.2755, 3408.3370, 1687.4638, 4091.8415, 1658.9731, 3485.7346, 1605.7633, 1639.3816, 1603.2615, 1633.5467
54.8960, 1647.3814, 2901.4249, 1662.7265, 2791.1517, 1699.0288, 3400.8705, 1741.4835, 2605.0087, 1659.5611, 3012.5873, 1701.2321, 3411.3300, 1688.8938, 4085.2546, 1658.5096, 3495.8269, 1605.9839, 1639.9384, 1604.1637, 1633.7666
55.8960, 1649.7589, 2899.1818, 1661.4017, 2793.3462, 1698.5856, 3406.0475, 1740.2748, 2606.0235, 1657.4607, 3011.5480, 1699.2866, 3417.1776, 1688.2938, 4086.0477, 1659.1808, 3487.6192, 1606.4801, 1640.0047, 1604.3849, 1634.2389
56.8970, 1648.0968, 2903.0375, 1662.0534, 2792.0449, 1697.6058, 3397.6993, 1741.5548, 2604.9609, 1659.4432, 3005.7795, 1700.0595, 3429.2210, 1688.5462, 4083.5285, 1658.3404, 3488.2288, 1605.7159, 1638.7197, 1604.4319, 1633.1704
57.8970, 1646.7826, 2900.5791, 1661.8932, 2793.4979, 1698.0058, 3394.4043, 1741.8096, 2604.6983, 1661.3777, 3009.7118, 1700.2371, 3428.1312, 1687.8023, 4084.4108, 1659.7519, 3489.6712, 1605.1383, 1639.6989, 1603.1179, 1634.0666
58.8970, 1649.6225, 2898.3893, 1661.8868, 2790.5919, 1698.2691, 3393.1612, 1741.4374, 2606.4878, 1658.3406, 3005.3996, 1699.8860, 3436.9637, 1688.8508, 4082.1854, 1656.7577, 3485.2827, 1605.4356, 1639.9261, 1603.6347, 1632.5632
59.8970, 1649.6344, 2902.1383, 1662.3226, 2784.1026, 1699.1698, 3394.1396, 1741.7687, 2606.0443, 1661.2467, 3011.3166, 1700.5318, 3442.0141, 1688.9854, 4079.9954, 1656.2096, 3488.3077, 1606.3295, 1640.4991, 1604.4166, 1633.1649
60.8970, 1647.9150, 2900.8893, 1660.3440, 2782.7436, 1699.1540, 3387.7741, 1741.4191, 2606.2704, 1658.5852, 3007.0808, 1698.5681, 3452.6942, 1687.4731, 4082.8238, 1658.4731, 3489.1635, 1605.2898, 1639.0294, 1604.1631, 1633.9841
61.8970, 1649.1818, 2904.3379, 1659.9594, 2775.5128, 1696.6317, 3387.2561, 1742.0887, 2602.9774, 1660.0175, 3009.3712, 1699.8537, 3461.3522, 1687.5023, 4074.0908, 1657.5231, 3485.9231, 1605.0161, 1638.6117, 1603.2834, 1634.6323
62.8970, 1647.1897, 2904.3933, 1664.3889, 2772.7927, 1697.7525, 3385.1583, 1741.9113, 2605.3557, 1656.9039, 3007.5087, 1699.5076, 3467.9960, 1689.4946, 4077.9677, 1658.5885, 3483.9288, 1605.8883, 1640.2235, 1604.4044, 1633.6793
63.8970, 1649.1087, 2901.7075, 1661.5449, 2774.6175, 1699.8633, 3385.0532, 1740.7122, 2602.7617, 1659.3668, 3004.1441, 1698.8113, 3479.0020, 1687.0885, 4078.3577, 1656.6769, 3483.9712, 1604.6913, 1639.9934, 1604.4001, 1633.0189
64.8970, 1647.4862, 2902.7905, 1662.4701, 2763.5278, 1698.9266, 3386.4777, 1739.6374, 2605.7200, 1658.1965, 3006.1354, 1697.8819, 3483.7588, 1686.5385, 4076.9715, 1658.3769, 3483.0192, 1604.3475, 1639.6790, 1603.4557, 1633.8858
