"File: DDELog(Excel:M13	1	1)::C:\Users\user\Desktop\clemens\20_07_22_DRG_AOP\M13_DRG_20_7\M13.LOG"
"Date: Wed Jul 20 2022 11:3:11.233"
0.0000, "Wavelength Names:	340	385	GFP	Wavelength 4	555"
"Time (sec)"
54.8040
114.1950
157.8030
0.0000, "Clock reset to 0.0"
"Region 1: [Location: (104, 68), Size: (74, 57), Area: 3256]"
"Region 2: [Location: (314, 125), Size: (33, 34), Area: 858]"
"Region 3: [Location: (252, 174), Size: (29, 33), Area: 737]"
"Region 4: [Location: (283, 230), Size: (42, 36), Area: 1164]"
"Region 5: [Location: (60, 156), Size: (30, 25), Area: 582]"
"Region 6: [Location: (38, 375), Size: (39, 41), Area: 1239]"
"Time (sec)", "R1 W1 Avg", "R1 W2 Avg", "R2 W1 Avg", "R2 W2 Avg", "R3 W1 Avg", "R3 W2 Avg", "R4 W1 Avg", "R4 W2 Avg", "R5 W1 Avg", "R5 W2 Avg", "R6 W1 Avg", "R6 W2 Avg"
80.8620, 1702.0762, 4955.8904, 1660.3193, 3477.5524, 1651.3243, 2942.3202, 1644.5885, 2793.7887, 1587.4450, 1619.4107, 1588.2914, 1616.2098
81.8620, 1703.2933, 4963.1984, 1661.0035, 3480.4522, 1650.8168, 2942.3691, 1644.2500, 2787.7070, 1585.3557, 1617.9708, 1587.4681, 1615.2696
82.8620, 1702.5829, 4957.5415, 1660.7448, 3482.3007, 1649.1452, 2941.0746, 1644.1383, 2783.4768, 1585.6340, 1618.6632, 1587.2575, 1615.3801
83.8620, 1703.4214, 4955.8618, 1660.6294, 3477.1527, 1650.2483, 2939.3962, 1644.1821, 2783.2148, 1586.8368, 1617.4278, 1587.1388, 1615.7805
84.8620, 1702.3584, 4955.5206, 1658.0058, 3479.4056, 1652.1940, 2934.6581, 1644.6735, 2783.7466, 1586.7062, 1618.5361, 1586.2389, 1616.5779
85.8620, 1702.8277, 4955.8974, 1659.9720, 3476.8963, 1651.3976, 2930.0882, 1642.0610, 2783.2363, 1585.8574, 1618.7509, 1586.3269, 1615.5843
86.8620, 1701.9509, 4955.1705, 1659.6678, 3474.3974, 1650.9050, 2926.1465, 1643.1916, 2783.5043, 1585.5601, 1618.4227, 1585.1396, 1615.6077
87.8620, 1702.4622, 4955.7841, 1660.0886, 3472.6422, 1650.0692, 2924.6771, 1643.3892, 2776.8119, 1585.6787, 1619.0515, 1586.3438, 1615.7813
88.8620, 1702.2571, 4953.7061, 1659.2296, 3472.4604, 1649.5468, 2921.4247, 1645.4399, 2729.4227, 1586.8746, 1618.8351, 1587.3245, 1615.4116
89.8620, 1702.9444, 4951.5660, 1661.0618, 3468.3182, 1650.1289, 2924.9769, 1646.6323, 2647.9089, 1587.1168, 1618.7268, 1586.6215, 1615.8539
90.8620, 1703.4303, 4951.2690, 1660.1270, 3474.0140, 1651.7354, 2922.1791, 1646.4905, 2689.9974, 1586.7543, 1618.3866, 1587.4576, 1616.4778
91.8620, 1703.0673, 4949.8729, 1660.1084, 3471.8065, 1651.0611, 2926.5875, 1645.4012, 2711.0206, 1586.7835, 1617.6667, 1586.1776, 1615.1396
92.8620, 1701.3185, 4948.2779, 1659.8252, 3477.4091, 1651.1737, 2920.4573, 1644.7113, 2731.4742, 1585.4897, 1618.6701, 1585.6094, 1615.6941
93.8620, 1702.6966, 4948.1622, 1659.8951, 3473.1072, 1650.1465, 2925.6133, 1645.0876, 2743.5670, 1586.5945, 1619.3162, 1586.7619, 1615.3309
94.8620, 1703.2313, 4943.8535, 1659.0641, 3466.9580, 1652.0583, 2918.9389, 1644.2775, 2749.7002, 1586.7818, 1617.5378, 1587.2849, 1615.4939
95.8620, 1702.6124, 4942.5086, 1659.2121, 3470.2389, 1649.6309, 2918.0204, 1644.4227, 2753.4708, 1585.6546, 1618.8368, 1586.6053, 1614.5932
96.8620, 1702.9072, 4942.3658, 1658.7517, 3467.3100, 1653.7341, 2923.1316, 1643.8883, 2757.0438, 1586.3093, 1619.0000, 1586.6416, 1616.1469
97.8620, 1701.8381, 4943.8388, 1659.6119, 3470.1550, 1649.6649, 2918.2144, 1644.7646, 2766.5387, 1586.1735, 1617.2045, 1586.3010, 1615.3059
